TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
962,2016,6704.185825701169,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
165,2016,623.5939490863354,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),True,True,True
163,2016,36.841291786185984,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
171,2016,1978.6862384757715,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
163,2016,464.43874046176336,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
149,2016,1612.2952372422144,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1338.1739535813554,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
165,2016,479.5087596656002,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
144,2016,1343.756874382049,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,906.0913414200999,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),False,True,True
144,2016,1357.641776311032,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,302.20373362442587,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
144,2016,1446.6531987837782,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,261.1841094489096,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
950,2016,4115.954451435855,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
144,2016,1545.7602057101733,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1483.1431287261648,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
171,2016,1636.3594373695457,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
149,2016,1747.1395305762571,Tin Hau,22.2827,114.1917,0,False,Moderate (1-2km),False,False,True
182,2016,1406.3710978274853,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
144,2016,1448.662426057254,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
