TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer,year
629,2001,1619.4556087714195,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True,2001
629,2001,1529.5958950776314,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
622,2001,1340.706038522034,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,True,True,2001
651,2001,4518.003002712428,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
629,2001,1367.5244646494157,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
653,2001,9798.673906790083,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
622,2001,1332.4989615626062,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,True,True,2001
634,2001,3821.944693383648,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,4564.187001434195,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
542,2001,341.02698047887174,Lok Ma Chau,22.5144,114.0657,1,True,Very Close (<500m),True,True,True,2001
634,2001,2577.0787353110895,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,True,2001
634,2001,4447.214221231244,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
626,2001,1707.9716823905935,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
634,2001,4923.449892000834,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,4718.38342855854,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
711,2001,8938.257015676736,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
545,2001,684.2084775844997,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True,2001
542,2001,1363.801792082997,Lok Ma Chau,22.5144,114.0657,0,False,Moderate (1-2km),False,True,True,2001
624,2001,813.1768544994501,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
624,2001,588.1332792650793,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
624,2001,598.245221606929,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
622,2001,244.84956844942235,Kwu Tung,22.50752,114.09962,0,False,Very Close (<500m),True,True,True,2001
624,2001,544.4015857102781,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
634,2001,4721.759683409521,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
624,2001,1484.4447135710093,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,False,True,2001
634,2001,3602.2361363303376,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,3841.6304254800793,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,3327.732034761696,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,4356.1798959046855,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
622,2001,1020.9824035015772,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),True,True,True,2001
624,2001,1153.5851146927305,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True,2001
624,2001,1035.0058092229033,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True,2001
624,2001,1328.9141123999962,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,False,True,2001
623,2001,1181.868855169581,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,True,True,2001
634,2001,4817.366440393459,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,1950.9843759827256,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,False,True,2001
634,2001,2185.7178784062557,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,1401.5383575521466,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True,2001
624,2001,902.0453298337018,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
634,2001,2914.506605925528,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,3285.6929368543833,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
634,2001,1912.4370013810287,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
623,2001,1406.6937295880955,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,False,True,2001
624,2001,825.2035622198848,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
624,2001,785.5364598484557,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
