小規劃統計區－大合併組,小規劃統計區－大合併組（英文名稱),小規劃統計區－大合併組（中文名稱),總人口,男性,女性,性別比率（即男性數目與每千名女性相對的比率）,15歲以下,15至24歲,25至44歲,45至64歲,65歲及以上,男女合計,男性.1,女性.1,香港,中國內地／澳門／台灣,其他地方,華人,菲律賓人,印尼人,白人,其他(1),從未結婚,已婚,喪偶,離婚,分居,從未結婚.1,已婚.1,喪偶.1,離婚.1,分居.1,廣州話,普通話,其他中國方言,英語,其他語言,能閱讀中文的5歲及以上人口比例,能閱讀英文的5歲及以上人口比例,能書寫中文的5歲及以上人口比例,能書寫英文的5歲及以上人口比例,未受教育／學前教育,小學,初中,高中,專上教育：文憑／證書,專上教育：副學位課程,專上教育：學位課程,同區就讀(3),跨區就讀（上課地點為香港島）,跨區就讀（上課地點為九龍）,跨區就讀（上課地點為新市鎮）,跨區就讀（上課地點為新界其他地區）,勞動人口,男性.2,女性.2,男女合計.1,男性.3,女性.3,工作人口,僱員（包括外發工）,僱主,自營作業者,無酬家庭從業員,非工作人口,料理家務者,學生,退休人士,無酬照顧者(6),其他,同區工作(7),跨區工作（工作地點為香港島）,跨區工作（工作地點為九龍）,跨區工作（工作地點為新市鎮）,跨區工作（工作地點為新界其他地區）,無固定地點／水上,於家中工作,香港以外地方工作,"少於 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 及以上",男女合計.2,男性.4,女性.4,"少於 6,000.1","6,000 - 9,999.1","10,000 - 19,999.1","20,000 - 29,999.1","30,000 - 39,999.1","40,000 - 59,999.1","60,000 及以上.1",男女合計.3,男性.5,女性.5,經理,專業人員,輔助專業人員,文書支援人員,服務及銷售人員,工藝及有關人員,機台及機器操作員及裝配員,非技術工人,漁農業熟練工人及不能分類的職業,製造業,建造業,進出口、批發及零售業,運輸、倉庫、郵政及速遞服務業,住宿及膳食服務業,資訊及通訊業,金融及保險業,地產、專業及商用服務業,公共行政、教育、人類醫療保健及社工活動,雜項社會及個人服務,其他(10),少於 18,18-34,35-44,45-54,55-64,65 及以上,家庭住戶數目,1,2,3,4,5,6 及以上,家庭住戶平均人數,由夫婦所組成(11),由夫婦及未婚子女所組成(12),由父或母親及未婚子女所組成(13),由夫婦及其中至少一個父或母親所組成(14),由夫婦、其中至少一個父或母親及其未婚子女所組成(15),由其他親屬關係組合所組成(16),單人住戶(17),非親屬關係住戶(18),"少於 6,000.2","6,000 - 9,999.2","10,000 - 19,999.2","20,000 - 29,999.2","30,000 - 39,999.2","40,000 - 59,999.2","60,000 及以上.2",家庭住戶每月收入（港元）中位數,"少於 6,000.3","6,000 - 9,999.3","10,000 - 19,999.3","20,000 - 29,999.3","30,000 - 39,999.3","40,000 - 59,999.3","60,000 及以上.3",從事經濟活動的家庭住戶(19)每月收入中位數（港元）,公營租住房屋,資助自置居所房屋,私人永久性房屋,非住宅用房屋,臨時房屋,公營租住房屋.1,資助自置居所房屋.1,私人永久性房屋.1,非住宅用房屋.1,臨時房屋.1,公營租住房屋.2,資助自置居所房屋.2,私人永久性房屋.2,非住宅用房屋.2,臨時房屋.2,1.1,2.1,3.1,4.1,5.1,6及以上,沒有自用廳房,自置，有按揭供款或借貸還款,自置，沒有按揭供款及借貸還款,全租,合租／二房東／三房客,免交租金,由僱主提供,由非住戶成員支付,"1 - 3,999","4,000 - 5,999","6,000 - 7,999","8,000 - 9,999","10,000 - 19,999.4","20,000 及以上",家庭住戶每月按揭供款及借貸還款（港元）中位數,家庭住戶每月按揭供款及借貸還款與收入比率中位數,"少於 2,000(20)","2,000 - 5,999","6,000 - 9,999.4","10,000 及以上",家庭住戶每月租金（港元）中位數,家庭住戶每月租金與收入比率中位數,家庭住戶的居所樓面面積中位數（平方米）(21),香港島,九龍,新市鎮,新界其他地區／水上,曾在同區遷居,仍居舊址(23),居於香港以外地方
325,325,325,55537,25960,29577,878,4749,5200,13747,18601,13240,49.3,48.6,50,31276,21672,2589,53092,369,660,19,1397,8576,13253,705,1080,107,7331,13692,3793,2093,158,50025,1140,1721,516,848,92.8,58.1,89.2,54,3519,10566,11905,13836,2122,2494,6346,3150,535,1443,2305,49,27949,14163,13786,55,59.7,50.9,25597,23668,425,1491,13,29940,2971,7187,11972,1367,6443,4246,2738,5155,6136,1023,4997,1079,223,2482,2378,13115,4934,1599,639,437,15000,16500,14000,1691,2301,13115,4934,1599,639,437,15000,16500,14500,1050,1498,3581,4134,6324,2022,1556,5334,98,1050,3041,3819,3040,3082,714,724,3996,3637,2265,229,1979,2706,7359,9032,2902,1619,20288,4127,6032,4703,3374,1492,560,2.7,2766,5644,3591,203,884,2917,4127,156,2259,2788,4848,3719,2444,2735,1495,20140,594,743,3806,3699,2435,2724,1495,26260,18053,-,2221,66,58,18013,-,2217,-,58,48485,-,6325,440,287,5070,4477,7882,2177,428,247,7,709,632,18831,-,105,11,81,35,26,26,28,308,205,17000,22.7,7795,10338,207,502,2020,11.9,34,202,644,1112,35,2341,48419,1539
326,326,326,156842,73022,83820,871,15210,15604,39893,52663,33472,47.9,47.5,48.3,88800,61574,6468,150467,914,2008,50,3403,22810,36369,1717,3831,319,21413,37636,10005,7036,496,139847,3069,6477,1483,2351,92.4,61.2,89.2,57.4,10508,25336,31281,42009,6551,7278,18669,12715,1354,4521,4889,287,79887,42020,37867,56.4,64.6,49.4,72977,67737,728,4407,105,83865,8801,22815,29879,3817,18553,12383,8204,15213,13834,3365,16216,3252,510,7774,6614,34206,14276,5573,3149,1280,15000,17720,13300,5128,6593,34206,14276,5573,3149,1280,15500,17720,14250,2768,4160,12438,11180,17477,6271,4407,14146,130,2928,9042,10110,8771,6773,2223,2897,12265,11917,5703,348,5635,6714,21660,26613,7939,4416,56971,12572,14922,14378,9983,3689,1427,2.7,6464,17380,8840,500,1917,8731,12572,567,6106,7091,13255,10444,6954,7777,5344,21270,1397,2205,10716,10148,6868,7750,5335,27010,42821,4118,9931,265,74,42737,4118,9940,102,74,115636,11110,27705,2221,170,9588,11327,24794,9366,1653,214,29,2676,7079,45429,18,407,1362,370,112,210,337,254,1229,164,10910,24.4,15110,29598,920,1181,2660,13.3,35,1513,3292,4863,394,7012,131808,4557
327,327,327,106812,50451,56361,895,11388,10271,27378,34649,23126,47.9,47.8,47.9,58943,42736,5133,101425,948,1255,203,2981,15384,25196,1169,2456,297,14250,26985,5950,3452,285,93344,1835,4979,1205,2141,92.4,61.3,89.3,57.7,6274,18024,20143,28133,4553,4443,13854,9300,871,2644,2927,245,53788,28254,25534,56.4,63.5,50.1,49497,45018,719,3694,66,57315,5554,15590,20091,2837,13243,9528,5276,9899,8754,2133,10974,2578,355,5467,4513,22640,9875,3786,1779,1371,15000,17000,14000,3377,4504,22640,9875,3786,1779,1371,15570,17000,14600,2031,3302,7980,8407,10671,4394,2833,9869,10,2471,5802,7825,5338,4277,1498,2048,7851,7993,4172,222,3786,4257,15702,17074,5419,3259,37442,8189,9712,8669,6442,3188,1242,2.8,5075,11573,5105,482,1412,5246,8189,360,3940,3999,9238,6440,4686,5100,4039,21850,1063,1254,7505,6188,4623,5025,3918,27420,23298,1876,11193,793,479,23275,1876,11125,685,481,66047,5971,30974,2970,850,5191,7398,16686,6246,1582,309,30,2765,6388,27200,28,629,432,250,162,516,526,237,906,168,8500,18.6,6784,18402,1337,1137,3050,14.1,35,1174,2315,3557,440,4862,86890,4418
328,328,328,54288,25191,29097,866,5056,4535,13803,17341,13553,48.9,48.4,49.3,33860,17083,3345,51084,782,825,127,1470,7958,12975,745,940,79,7501,13606,3469,1881,78,48570,815,1173,942,1459,91.1,65.2,88.1,62.2,2745,8924,8748,14662,2668,2353,9132,2777,792,2771,1080,103,27017,13835,13182,54.9,61,49.7,24971,23000,372,1543,56,29317,2518,7266,11596,1220,6717,3150,4478,6566,3249,1347,4074,1845,262,3254,1652,9290,5019,2418,2017,1265,17000,20000,15000,1693,1611,9290,5019,2418,2017,1265,18000,20000,16500,1577,2226,4986,3470,5326,1582,1277,4497,30,914,2123,3386,2552,1913,688,1305,4319,5250,2411,110,1782,2016,8009,8759,2526,1879,18698,3496,5308,4374,3679,1194,647,2.8,2728,6253,2501,185,620,2617,3496,298,2072,1913,3525,2852,2339,2640,3357,25610,552,466,2520,2717,2286,2606,3357,33120,10682,3163,4122,870,23,10682,3149,4122,714,31,29322,9285,11917,3725,39,2517,3436,7254,4099,1048,343,1,2458,3480,11600,8,313,839,313,94,370,447,242,800,192,9000,18.7,3091,8628,230,498,2260,10.8,41,532,1793,1585,204,1635,45841,1420
331L,"331 - 334, 336 and 340","331 - 334, 336 及 340",11364,5123,6241,821,1123,833,3150,4099,2159,48.5,50.7,47.3,7908,2318,1138,10573,383,318,39,51,1059,3250,11,143,62,1558,3594,298,214,52,10104,228,81,466,64,91.9,80.9,91,78.3,228,850,1364,3590,695,567,2947,548,102,447,415,-,6227,2959,3268,60.8,65.4,57.2,5838,5027,389,407,15,5526,550,1477,2229,162,1108,512,1011,1264,1132,211,669,859,180,1070,152,1436,1252,663,721,529,20000,25000,16290,351,152,1436,1252,663,721,529,22500,25000,21250,859,806,1515,707,630,142,283,884,12,241,325,1051,412,281,225,463,878,1013,890,59,444,748,2151,1632,474,389,4010,607,1214,1114,664,252,159,2.8,1012,1484,281,61,79,335,607,151,402,300,500,397,583,651,1177,35900,103,167,353,327,519,622,1123,42670,-,-,3875,48,87,-,-,3875,48,87,-,-,11091,48,225,77,427,1120,1082,1017,287,-,1280,1688,930,-,80,32,146,12,68,113,70,682,189,13500,23.1,28,111,242,581,12500,41.3,61,92,447,620,90,1126,7847,721
335,335,335,24813,11335,13478,841,3030,1563,7689,9121,3410,45.2,46.4,44.7,18421,3711,2681,22308,1452,639,148,266,1998,7256,63,298,88,2609,8397,527,464,83,21564,193,230,1537,450,90.3,85.4,89.4,83.9,309,1572,2300,6958,1922,1305,7417,1611,199,1063,611,36,14411,6907,7504,66.2,71.2,62.1,13806,11969,815,1022,-,11007,1120,3615,4066,463,1743,1450,2902,2864,2085,841,1454,1973,237,2303,457,2232,2568,1971,2120,2155,25000,30000,20000,567,432,2232,2568,1971,2120,2155,30000,30000,29000,2742,2174,3077,1608,1190,393,476,2134,12,496,720,1993,1009,441,598,1469,2367,2287,2361,65,747,1160,5273,4240,1311,1075,8597,1240,2703,1971,1700,697,286,2.9,2422,3209,351,128,316,738,1240,193,606,357,760,812,848,1542,3672,52100,106,75,484,741,769,1492,3578,59380,-,-,8562,-,47,-,-,8550,-,47,-,-,24644,-,169,66,196,2225,3211,2203,696,-,3784,2895,1542,-,268,108,313,68,277,351,451,1763,561,12400,19.3,55,89,162,1344,16000,25.3,59,155,961,1344,203,2094,17953,1264
350,350,350,106080,49403,56677,872,11767,7024,31143,33715,22431,46.9,46.4,47.4,70870,29484,5726,101435,1574,1648,54,1369,12624,27955,892,1606,169,12896,29877,4905,3082,307,95812,1535,2137,1939,1070,93.6,68.4,91.8,65.7,4697,14710,16314,27693,5859,4956,20084,6521,982,2991,3472,250,55677,28703,26974,59,66.4,52.8,52115,47478,1069,3460,108,53965,5727,14106,21987,2320,9825,3666,9068,12128,12261,2686,8097,3581,628,5544,3423,19121,10639,5256,4407,3617,18000,20000,15000,2451,3371,19121,10639,5256,4407,3617,19040,20000,17000,4488,5841,10395,8532,9055,2726,2639,8360,79,2246,4460,8406,6461,2798,2007,3807,8277,8388,4941,324,3281,3806,19122,17597,5200,3109,38537,6000,12293,10357,6785,2446,656,2.7,7465,13947,4976,546,1267,3713,6000,623,3486,3395,6578,6112,5232,6332,7402,29410,865,839,4849,5898,5072,6144,7315,35080,13657,8332,16439,179,36,13657,8332,16448,64,36,36276,23035,46065,607,97,4338,5638,18029,7562,2579,390,1,7725,13332,16307,48,726,399,622,410,598,758,887,3602,848,11500,20,10507,3679,490,2078,1840,10.5,39,892,1904,3865,268,4856,87784,2972
351,351,351,73501,34936,38565,906,6337,5089,21206,23787,17082,50,48.9,50.7,42009,27258,4234,70305,787,1036,-,1373,10326,19281,845,1242,98,8907,20489,3448,2321,207,65674,1414,2035,946,1304,93.4,61.4,91,58,3204,12744,13396,18632,3887,3172,12129,3315,565,2156,2331,106,38271,19668,18603,57,61.9,52.6,35669,32634,681,2325,29,37832,3718,8320,17199,1380,7215,2656,5178,7711,8591,2173,6963,2017,380,3711,2595,15054,7786,2830,1993,1671,16500,19000,15000,2018,2578,15054,7786,2830,1993,1671,17000,19000,15460,2356,3114,6211,5359,7150,2760,2089,6562,68,1263,4152,5401,4124,2666,987,1717,5732,6519,2902,206,2424,3067,11232,13003,3680,2263,25552,4022,7064,6629,5222,1875,740,2.9,4303,8977,3191,513,1044,3294,4022,208,2501,2735,4998,4148,3216,3959,3995,25340,635,533,3790,3897,3162,3906,3959,33000,10613,10742,4178,73,20,10603,10742,4178,9,20,29962,30072,13114,307,46,1894,3588,12698,5466,1516,388,2,2673,11081,11390,-,363,45,204,481,225,159,265,938,401,10500,17.5,5102,5598,135,600,2040,11.7,41,158,969,1909,311,1951,64700,1394
411L,411 - 416 and 426 - 427,411 - 416 及 426 - 427,30199,13584,16615,818,3901,2306,9807,9920,4265,43.5,45,42.1,19998,5374,4827,25146,1761,988,875,1429,2712,8169,255,398,96,3703,9369,808,683,105,23367,950,426,3165,1060,85.9,84.1,83.3,82,423,2085,3435,8038,1754,1739,8824,2199,222,1090,702,85,16256,7802,8454,61.8,67.1,57.6,15548,13149,1029,1305,65,14651,1886,4728,4531,515,2991,1762,2072,2764,2885,743,2113,2796,413,2913,660,3133,2731,1536,2147,2363,21250,30000,15500,586,585,3125,2731,1536,2147,2363,26250,30000,24000,2189,2734,3279,1423,1982,518,458,2947,18,552,976,2555,1307,787,512,991,1979,2851,2936,102,1046,1390,5227,5285,1553,1047,10235,1946,3200,1944,1790,937,418,2.8,2674,3302,540,145,397,824,1946,407,991,422,1424,1007,1153,1528,3710,40170,102,149,987,941,1143,1441,3601,50070,-,-,10194,57,130,-,-,10090,15,130,-,-,29189,630,380,46,666,2463,3185,2298,1577,-,3667,2705,2881,33,678,271,312,80,69,155,370,1907,774,15000,25.2,147,226,233,2579,14500,31.7,64,918,1494,3339,568,5242,15187,2220
421L,421 - 422,421 - 422,84311,39971,44340,901,8940,6483,24317,27600,16971,47,46.4,47.4,60284,20700,3327,81125,838,1134,100,1114,10239,23046,591,1209,174,9539,23782,3580,3002,209,78475,839,994,665,1058,94.7,67,92.4,64.2,3646,11868,14718,24960,4296,3953,11930,9386,416,1083,965,107,44425,23372,21053,58.9,66.3,52.5,41177,37793,628,2711,45,43134,5228,11547,16764,1614,7981,8856,4108,7031,8312,2448,7764,2116,542,4339,2870,15915,8935,4370,3524,1179,17500,20000,15000,2408,2851,15915,8935,4370,3524,1179,18000,20000,15560,2184,3398,7076,7054,9483,3041,2575,6272,94,1588,4090,6523,5030,2978,1587,1601,5539,8575,3263,403,2714,3516,13045,14629,4246,3027,30955,4795,10444,7936,5253,1956,571,2.7,6649,11312,3692,265,896,2918,4795,428,3703,2787,6164,4681,3685,5137,4798,25190,934,859,4791,4486,3589,5067,4769,32100,9482,9196,12312,62,2,9449,9192,12312,-,2,23746,25929,34448,186,2,4152,4156,12121,6780,3503,241,2,4719,13175,11640,-,654,767,405,555,640,616,760,1567,176,8600,18.2,9216,1253,503,1435,1520,9.8,42,197,384,1346,395,7373,70413,1949
423L,423 and 428,423 及 428,180876,87086,93790,929,18978,12930,52387,59819,36762,47.2,46.8,47.5,119846,54283,6747,175324,1368,1520,124,2540,24518,45714,1755,5123,336,20520,47090,7594,8730,518,166828,2057,3470,1481,1453,94.7,63,92,59.8,7051,30869,36030,49709,8366,7842,22031,17599,972,2064,3973,184,91889,50006,41883,56.8,64.6,49.6,84852,77874,1163,5727,88,96024,11079,23572,34137,4729,22507,20438,7211,13830,16201,5687,17465,3299,721,8210,6749,37409,18931,7715,4019,1731,16000,18000,14000,5797,6677,37409,18931,7715,4019,1731,16500,18000,15000,3880,5566,14318,12726,19920,6599,6600,15062,181,2960,8896,13922,12164,6997,2033,3174,13202,14602,6068,834,6116,7583,26186,30420,9243,5304,70391,16281,22062,17478,10522,2994,1054,2.5,12520,21981,9529,573,1692,6820,16281,995,10650,7307,15943,12465,8479,9081,6466,20190,2350,2808,13365,12231,8373,9053,6453,26730,27960,24672,17101,698,472,27935,24672,17087,225,472,61499,66981,46477,4604,1315,14806,11893,27582,11895,3470,742,3,10125,26569,32270,-,1113,314,807,2479,1422,959,1060,3151,247,7500,17.7,26227,2999,1331,2027,1330,9.5,36,1204,2575,10004,3126,13979,140611,3899
424,424,424,103699,48181,55518,868,10103,8083,30651,32186,22676,47,46,47.6,71836,27529,4334,99512,953,1464,74,1696,13117,26704,891,1967,173,13015,28645,4923,3962,199,95302,1020,1899,1264,1338,93.1,66.3,90.4,63,5370,15939,17075,28074,5376,5363,16399,10290,649,1590,1270,153,54541,28376,26165,58.3,66.2,51.6,50878,46553,1005,3286,34,52821,6255,13271,19816,2468,11011,11622,5737,8826,9682,3276,8580,2665,490,5187,3672,20611,11002,4724,3532,2116,17000,20000,15000,3064,3661,20596,11002,4724,3532,2116,18000,20000,15500,3490,4593,9485,7923,10989,3510,2707,8071,110,2245,4672,8117,5886,3925,1740,2445,7900,9052,4441,455,3597,3924,16180,18790,5225,3162,38731,7538,12475,9774,6080,2263,601,2.6,7705,12568,4783,483,1021,4108,7538,525,4937,3415,7151,6462,5314,6234,5218,25060,834,1025,5441,6365,5263,6193,5192,32000,13761,5356,19622,111,4,13760,5297,19635,35,4,35588,15288,51523,1296,4,5687,6294,16931,6843,2477,481,18,6466,12581,18689,90,787,118,613,608,774,728,744,2234,765,10000,19.2,13402,1217,1701,2577,1640,11.9,37,701,1081,3213,496,8424,83854,3142
425,425,425,72801,34960,37841,924,7690,5995,24091,23124,11901,43.7,42.7,44.4,49288,20200,3313,69039,1143,1078,186,1355,10903,18423,573,1074,55,9170,19814,2792,2040,267,65661,916,1436,1513,876,92.8,70.4,90.2,67.4,3159,9108,10904,19432,3971,3943,14594,7348,467,1307,1147,118,39329,21037,18292,60.4,67.8,53.7,36803,33719,634,2379,71,35998,4359,10054,11734,1575,8276,7521,4629,6689,6895,2069,6418,2277,305,3623,2173,13502,8467,4187,2980,1800,18540,20000,16000,1775,2058,13486,8467,4187,2980,1800,20000,20000,17890,2727,3484,7815,5905,6960,2334,2238,5271,69,1441,3885,5716,3972,2611,1138,2021,5029,7340,3313,337,2316,2621,12956,13093,3714,2103,24860,4524,6468,6315,4655,2055,843,2.8,4091,9219,2587,346,673,2774,4524,646,2494,1349,4307,3501,3587,4536,5086,31410,514,449,3484,3418,3514,4493,5002,36330,6729,1679,16298,164,231,6708,1679,16192,50,231,21242,4879,45544,606,530,1379,2131,11042,7044,2567,696,1,5876,7926,10251,20,522,265,363,378,1168,606,513,2223,625,10000,20.7,2610,4977,1070,1879,3200,15,43,718,1264,2673,473,6121,56582,2640
431L,431 - 434 and 441 - 442,431 - 434 及 441 - 442,32031,15127,16904,895,4135,2501,10264,10448,4683,43.4,42.7,44,24308,5985,1738,30151,642,706,101,431,4141,8214,253,374,129,3263,9357,971,1015,179,28749,323,156,939,260,93,76.5,90.7,73.8,729,3087,4954,9768,1967,2259,5132,2260,231,521,1266,148,17857,9477,8380,64,72.3,56.7,16869,14548,702,1579,40,15162,2059,4254,4622,489,3738,2488,1738,2753,3485,1067,3648,1408,282,2082,848,5445,3885,2139,1525,905,20000,21250,15000,821,798,5445,3885,2139,1525,905,20000,21250,17600,1246,1463,3798,2968,2560,936,1369,2453,76,395,1966,3302,2223,566,534,691,2006,3136,1894,156,1251,1637,6622,4588,1940,831,11220,2268,2970,2605,2057,821,499,2.8,2035,3612,889,288,425,1385,2268,318,1194,326,1567,1685,1888,2216,2344,33010,273,121,1299,1572,1788,2197,2320,37780,-,-,10232,68,990,-,-,10175,55,990,-,-,28841,160,3030,223,911,3669,4634,1206,577,-,3147,4170,3171,10,705,17,271,238,257,389,594,1296,102,9790,20.6,154,790,871,1383,9500,27.8,59,281,584,2088,344,2719,23300,1114
510,510,510,277731,133309,144422,923,27273,30273,82230,95505,42450,44.7,43,46,166153,100236,11342,266041,2291,2886,386,6127,42799,68531,1848,5566,486,38057,71388,10346,10826,611,252688,3699,6322,2986,4581,94.5,65.9,92.1,62.5,10666,39980,52530,78182,13775,14803,40522,21818,1851,6018,10732,1469,147956,79207,68749,59.1,66.4,52.4,134588,123623,1659,9152,154,143143,19224,39778,45904,6413,31824,12501,14093,22035,38385,11741,29096,5395,1342,12701,9955,61151,30768,10411,6512,2936,16000,18500,14000,8701,9885,61151,30768,10411,6512,2936,16500,18500,15000,5703,10066,23292,21460,30628,11208,8770,22890,571,5002,17318,19026,15726,11582,3908,5025,21955,24536,9459,1051,9815,11182,41162,49894,14806,7729,94850,15412,23181,25658,20455,7281,2863,2.9,12749,35472,13696,1045,3524,12135,15412,817,10734,7384,18614,17375,13104,16596,11043,25250,2251,2708,15361,16887,12891,16520,10989,30540,55230,19550,20109,243,1,55112,19550,20124,63,1,164200,57232,55257,1041,1,7410,10985,37282,30721,7521,868,63,12924,21059,59919,54,779,115,1205,2016,2446,1655,1210,3846,546,7400,19,25669,29798,502,4119,2150,9.9,44,1061,2374,9574,2521,8060,240368,6412
511L,"511, 513 - 514 and 516 - 517","511, 513 - 514 及 516 - 517",28463,13479,14984,900,3958,2332,9556,8894,3723,42.6,43.1,42.2,20175,6018,2270,26478,671,858,42,414,3140,7384,217,603,31,3180,7799,1067,955,129,25209,511,314,711,500,90.9,73.7,89,69.9,757,3042,4516,8380,1514,1564,4732,103,158,577,3722,123,15571,8011,7560,63.5,70.4,57.6,14515,12581,448,1454,32,13948,1597,4655,4130,861,2705,664,1155,2088,4760,988,2894,1860,106,2066,851,5215,3085,1542,990,734,18000,20000,15000,625,820,5215,3085,1542,990,734,19500,20000,16900,1317,1112,2823,1924,2648,1039,1104,2530,18,342,1449,2671,1870,763,520,507,1572,2343,2361,117,1196,1385,4977,4605,1645,707,10231,1908,3047,2357,1965,575,379,2.8,1834,3185,1002,208,250,1277,1908,567,1132,618,2179,1721,1116,1877,1588,26040,343,268,1872,1635,1107,1870,1575,31140,-,-,9426,-,817,-,-,9414,-,817,-,-,26181,-,2282,199,1626,2481,3805,1468,652,-,1873,3944,3732,-,644,38,235,195,148,203,217,718,157,10140,18.9,210,1151,1426,983,6800,29.1,59,318,963,4398,686,1214,18095,1572
512,512,512,12509,5789,6720,861,1570,824,4119,3602,2394,43.7,43.9,43.4,8466,2880,1163,11511,324,483,-,191,1284,3401,92,175,20,1519,3593,458,296,101,11036,100,252,266,173,87.5,66,83.9,64,819,1867,1959,3473,539,752,1530,-,48,479,880,280,6404,3408,2996,58.5,68.5,50.2,6060,5412,182,462,4,6449,684,1721,2170,421,1453,215,421,562,1939,850,1205,863,5,1000,215,2359,1380,557,331,214,16000,20000,14500,256,215,2359,1380,557,331,214,18000,20000,16430,513,250,1054,832,1235,492,411,1258,15,65,784,1230,481,451,104,251,792,911,968,23,476,722,2183,1604,736,339,3864,537,1083,797,781,371,295,3.1,825,902,288,147,238,776,537,151,276,236,745,770,570,609,658,29790,73,96,667,708,570,609,648,31630,-,-,2577,50,1291,-,-,2571,2,1291,-,-,7630,317,4562,117,590,925,1144,710,378,-,575,1404,1542,-,323,20,35,94,42,90,84,209,21,8000,16,170,607,588,197,6000,23,59,170,175,1522,349,207,8546,873
515,515,515,23150,10997,12153,905,4689,1842,7961,5989,2669,38.5,38.7,38.4,14823,7249,1078,21967,188,266,-,729,1995,5577,155,744,35,2176,5811,841,1036,91,20333,326,428,267,540,93.9,70.5,92.3,67,472,2345,4585,6694,987,1031,2347,153,111,309,4408,363,11214,6021,5193,60.7,70.8,52.2,10489,9567,280,627,15,12661,1691,5339,2618,795,2218,170,925,1634,4053,962,2082,569,94,886,822,4622,2458,951,590,145,16790,20000,15000,420,795,4622,2458,951,590,145,17100,20000,15000,495,721,1767,1460,2548,963,837,1698,-,493,1132,1605,1345,912,310,260,1699,1615,1039,79,644,774,2868,4048,1407,748,8702,1692,2450,2610,1486,328,136,2.6,1348,3251,1578,73,141,545,1692,74,1169,649,2214,1601,1262,1206,601,21590,289,283,1889,1601,1242,1200,601,26070,4787,2261,1624,4,47,4773,2261,1621,-,47,11805,6534,4549,141,121,1274,2312,3556,1231,270,59,-,2346,988,5306,-,50,12,250,108,116,783,597,492,-,8000,20.7,4297,570,277,174,1890,10.7,30,556,1132,6741,591,186,11955,735
518L,518 - 519,518 - 519,18625,8608,10017,859,2442,1230,6786,6164,2003,41.9,41.8,41.9,13895,2950,1780,17081,729,447,20,348,1718,4767,107,426,21,2456,5440,652,582,14,16306,328,74,793,329,90.7,80.8,89.2,78.4,292,1461,2313,5928,1004,900,4285,131,116,495,2080,-,10562,4984,5578,65.3,70.8,61,9982,8467,502,934,79,8643,1128,2822,2334,500,1859,477,1131,1785,2887,259,1772,1372,299,1499,345,2567,2311,1209,1083,889,20000,24070,16500,339,331,2567,2311,1209,1083,889,21250,24070,20000,1345,1128,2352,1326,1122,566,395,1728,20,430,1050,1679,632,435,169,710,1248,2032,1532,65,577,1131,3503,3605,807,359,6276,993,1685,1694,894,786,224,2.9,1278,2181,553,177,199,735,993,160,653,234,849,790,771,1131,1848,36070,153,49,792,761,737,1086,1797,43420,-,-,5913,79,369,-,-,5829,78,369,-,-,17551,136,938,114,783,1874,1652,1077,776,-,2155,1732,2010,-,322,57,202,42,189,221,177,1090,234,12000,22.3,106,490,513,958,9400,27.1,57,226,674,2524,166,1361,12017,878
521,521,521,11614,5577,6037,924,1459,887,3787,3580,1901,43.6,44.2,43.4,8413,2002,1199,10268,421,357,74,494,1510,2887,146,166,47,1314,3280,492,285,28,9964,114,143,787,60,89,77.5,87.2,74.6,420,1119,1473,3625,704,460,2354,302,78,375,949,17,6296,3244,3052,62,68.2,56.5,5781,5136,226,396,23,5833,525,1822,1699,232,1555,327,728,1110,1578,330,851,793,64,928,210,1782,1438,485,557,358,19200,21000,15000,225,174,1782,1438,485,557,358,20000,21250,20000,549,709,1345,776,875,275,234,1011,7,78,496,1192,436,338,110,346,605,1106,1062,12,351,481,2088,1809,649,403,3937,730,1135,900,656,290,226,2.9,655,1295,385,133,84,458,730,197,494,226,561,737,361,682,876,29040,173,119,479,685,350,682,845,35540,-,-,3869,24,77,-,-,3841,19,77,-,-,11265,160,189,83,562,1130,1504,462,196,-,946,1278,1426,-,268,19,93,109,83,71,58,393,139,12000,20,34,268,535,608,9000,27.5,59,203,506,1271,36,705,7857,509
522,522,522,24644,11602,13042,890,2810,1784,7369,9470,3211,45.8,46.8,45.3,18889,4405,1350,23461,478,606,-,99,3316,6305,202,467,44,2830,7040,880,631,119,22392,371,162,506,98,92.3,72.4,89.9,69.4,819,3006,4202,7231,1405,1359,3812,256,86,426,2407,15,13413,7292,6121,61.4,70.6,53.2,12531,10971,456,1069,35,12113,1614,3126,3763,768,2842,786,1333,2053,3553,480,2894,1299,133,1642,834,4013,2997,1248,1000,762,18000,20000,15500,541,799,4013,2997,1248,1000,762,20000,20000,18000,1014,816,2567,1735,2181,1138,682,2307,91,374,1233,2099,1353,728,270,640,1636,2413,1714,71,718,1337,4787,3591,1329,769,8426,1446,2199,2190,1631,634,326,2.9,1488,3048,773,77,322,1153,1446,119,758,532,1579,1352,1045,1513,1647,29750,272,260,1297,1321,1021,1513,1626,35040,-,-,7962,26,502,-,-,7902,22,502,-,-,23365,95,1184,114,889,1788,3644,1287,704,-,2019,3360,2327,22,682,16,292,92,217,212,278,806,122,10000,22.1,165,834,612,754,7300,25.3,64,375,733,2683,342,1745,16396,1263
